0.63103;-0.78909
0.62897;-8.76E-01
0.6273;-9.25E-01
0.62519;-9.64E-01
0.623;-9.94E-01
0.62136;-1.04E+00
0.61884;-1.05E+00
0.61702;-1.08E+00
0.61502;-1.12E+00
0.61292;-1.13E+00
0.61078;-1.16E+00
0.6091;-1.16E+00
0.60732;-1.19E+00
0.60499;-1.20E+00
0.60342;-1.23E+00
0.60132;-1.24E+00
0.59901;-1.25E+00
0.59728;-1.27E+00
0.59522;-1.28E+00
0.59315;-1.29E+00
0.59108;-1.31E+00
0.58917;-1.31E+00
0.58715;-1.32E+00
0.58499;-1.33E+00
0.58299;-1.34E+00
0.58099;-1.34E+00
0.57931;-1.34E+00
0.57723;-1.35E+00
0.57481;-1.36E+00
0.573;-1.36E+00
0.57079;-1.36E+00
5.69E-01;-1.37E+00
0.56703;-1.36E+00
0.56512;-1.37E+00
0.56316;-1.37E+00
0.56103;-1.37E+00
0.55922;-1.37E+00
0.55714;-1.36E+00
0.55506;-1.35E+00
0.55368;-1.35E+00
0.55137;-1.35E+00
0.54894;-1.35E+00
0.54717;-1.34E+00
0.54537;-1.33E+00
0.54325;-1.33E+00
0.54135;-1.32E+00
0.5393;-1.31498
0.53752;-1.30E+00
0.53554;-1.29E+00
0.53322;-1.28E+00
0.53122;-1.26693
0.52938;-1.26E+00
0.52749;-1.24076
0.52552;-1.23E+00
0.52322;-1.21961
0.52143;-1.19E+00
0.51914;-1.18077
0.51736;-1.17E+00
0.51559;-1.1575
0.51351;-1.15E+00
0.51135;-1.15291
0.50961;-1.12E+00
0.50753;-1.11495
0.50557;-1.10E+00
0.50297;-1.08078
0.50112;-1.08E+00
5.00E-01;-1.07232
0.49741;-1.04E+00
0.49549;-1.04651
0.49373;-1.04E+00
0.49101;-1.03901
0.48929;-1.02E+00
0.48722;-1.00417
0.48532;-1.01E+00
0.48365;-0.9982
0.48108;-9.84E-01
0.4794;-0.9945
0.47723;-9.91E-01
0.4753;-0.99077
0.47304;-0.98211
0.47179;-0.9675
0.46939;-0.97729
0.46719;-0.9678
0.46523;-0.96804
0.46292;-0.97872
0.4612;-0.98021
0.45914;-0.97962
0.4573;-0.99332
0.45565;-0.99604
0.45302;-1.00296
0.45132;-1.00602
0.44953;-1.01395
0.44721;-1.01847
0.44522;-1.03416
0.44311;-1.04049
0.44111;-1.0434
0.43931;-1.05486
0.43724;-1.07071
0.43493;-1.07496
0.43343;-1.08639
0.43149;-1.10582
0.42939;-1.12424
0.42687;-1.12462
0.42516;-1.14234
0.42348;-1.17034
0.42135;-1.18028
0.41933;-1.21125
0.41718;-1.21644
0.41499;-1.23456
0.41322;-1.25495
0.41116;-1.27606
0.40904;-1.28379
0.40731;-1.3142
0.40539;-1.33099
0.40313;-1.35915
0.40156;-1.38338
0.39936;-1.40725
0.39697;-1.43277
0.39513;-1.45647
0.39341;-1.4826
0.39133;-1.51218
0.38929;-1.53461
0.3871;-1.57948
0.38464;-1.5866
0.38345;-1.62018
0.38104;-1.64012
0.37903;-1.67703
0.3771;-1.69702
0.37519;-1.74149
0.37322;-1.76293
0.37143;-1.79021
0.36899;-1.83544
0.36721;-1.8677
0.36512;-1.91508
0.36318;-1.96086
0.36102;-2.01528
0.35915;-2.07012
0.35683;-2.12422
0.35549;-2.19705
0.35292;-2.27962
0.35115;-2.34492
0.34945;-2.4095
0.34698;-2.4694
0.34531;-2.50647
0.34327;-2.5389
0.34168;-2.56249
0.33924;-2.56448
0.33749;-2.53213
0.33533;-2.52456
0.33331;-2.49827
0.33141;-2.4653
0.32924;-2.46351
0.32731;-2.44779
0.32578;-2.45681
0.32368;-2.48807
0.32148;-2.52179
0.31993;-2.56195
0.31724;-2.62478
0.31535;-2.68554
0.31309;-2.75924
0.31136;-2.85026
0.3094;-2.94355
0.30764;-3.06203
0.30541;-3.16301
0.30297;-3.33046
0.30115;-3.48627
0.29902;-3.6907
0.29753;-3.89538
0.29537;-4.1802
0.29315;-4.4559
0.29139;-4.83165
0.28941;-5.22534
0.28718;-5.65283
0.2855;-6.17139
0.28341;-6.65502
0.28174;-7.13894
0.27948;-7.68528
0.27741;-8.11151
0.27571;-8.56896
0.2735;-9.00693
0.27185;-9.29193
0.26967;-9.65161
0.26785;-9.90386
0.26562;-10.09667
0.26336;-10.34416
0.26144;-10.48645
0.2596;-10.59161
0.25795;-10.799
0.25572;-10.86088
0.25349;-11.0262
0.2517;-11.14763
0.24931;-11.18588
0.24762;-11.3347
0.24537;-11.38588
0.24378;-11.38492
0.2416;-11.54667
0.2397;-11.50759
0.23755;-11.49819
0.23555;-11.63255
0.23348;-11.5312
0.23173;-11.5338
0.22931;-11.59353
0.22771;-11.33837
0.2256;-11.48908
0.22377;-11.56243
0.22151;-11.44169
0.21988;-11.57502
0.21771;-11.5701
0.21567;-11.57305
0.21317;-11.7142
0.21134;-11.74068
0.20959;-11.77841
0.20736;-11.94359
0.20529;-11.98751
0.20335;-12.19249
0.202;-12.38831
0.19945;-12.44434
0.19761;-12.83127
0.19567;-13.00693
0.1935;-13.21273
0.19138;-13.63462
0.18949;-13.88102
0.18703;-14.16207
0.1853;-14.70279
0.18338;-14.88721
0.18166;-15.43225
0.17896;-15.96992
0.17742;-16.43329
0.17557;-17.06946
0.17335;-17.80938
0.17137;-18.1141
0.16953;-18.74701
0.16727;-18.85944
0.16513;-18.82137
0.16319;-18.80135
0.16159;-18.46811
0.15917;-18.1189
0.15749;-17.96625
0.15546;-17.57012
0.15314;-17.47608
0.15137;-17.37526
0.14934;-17.17116
0.14729;-17.38665
