0.63622;-0.04147
0.63091;-0.94158
0.62937;-1.01541
0.62705;-1.04802
0.6253;-1.07851
0.62292;-1.07819
0.62127;-1.10384
0.61902;-1.1051
0.61741;-1.09799
0.61506;-1.11753
0.61322;-1.11703
0.61115;-1.10888
0.60891;-1.1095
0.60687;-1.09378
0.60519;-1.08441
0.60275;-1.082
0.60093;-1.0693
0.59925;-1.07061
0.59722;-1.05695
0.59509;-1.04267
0.59347;-1.02878
0.59096;-1.04494
0.58928;-1.01223
0.58703;-1.01106
0.58497;-0.98357
0.58314;-0.99268
0.58088;-0.9811
0.57907;-0.99514
0.57747;-0.97236
0.57518;-0.97535
0.57315;-0.96048
0.57097;-0.95811
5.69E-01;-0.96097
0.5671;-0.94407
0.56533;-0.94965
0.56346;-0.9424
0.56108;-0.9401
0.55944;-9.37E-01
0.55708;-9.46E-01
0.55516;-9.41E-01
0.55271;-9.40E-01
0.55116;-9.35E-01
0.54903;-9.30E-01
0.54706;-9.19E-01
0.54508;-9.31E-01
0.54311;-9.31E-01
0.54151;-9.25E-01
0.53916;-9.22E-01
0.5371;-9.30E-01
0.53496;-9.27E-01
0.53313;-9.17E-01
0.53127;-9.11E-01
0.52868;-9.06E-01
0.52686;-9.14E-01
0.52499;-9.12E-01
0.52255;-9.14E-01
0.52102;-9.17E-01
0.51884;-0.89365
0.51748;-0.90712
0.51494;-0.90647
0.51341;-0.90716
0.51108;-0.90578
0.50894;-0.91658
0.50732;-0.90102
0.50514;-0.91484
0.50291;-0.89345
0.50139;-0.89925
0.49916;-0.90783
0.49709;-0.91364
0.49516;-0.91128
0.49325;-0.90768
0.49107;-0.9014
0.48919;-0.89771
0.4871;-0.91593
0.48528;-0.90542
0.48306;-0.90727
0.48133;-0.91324
0.47935;-0.92177
0.47725;-0.92461
0.4754;-0.94078
0.47308;-0.95112
0.47125;-0.94445
0.4693;-0.95332
0.46713;-0.95521
0.46535;-0.9596
0.46327;-0.98134
0.46159;-0.97441
0.459;-0.98019
0.45701;-0.98952
0.45515;-0.99418
0.45301;-1.00065
0.45136;-0.99775
0.44905;-1.0051
0.44713;-1.00365
0.44508;-1.00334
0.44316;-1.00831
0.44088;-0.99744
0.43913;-1.01137
0.43681;-1.00872
0.43509;-1.02299
0.43277;-0.99955
0.4309;-1.00256
0.42941;-1.00372
0.42686;-1.01049
0.42547;-1.0136
0.42332;-1.01933
0.42108;-1.01455
0.41922;-1.01368
0.41696;-1.03005
0.41525;-1.01966
0.41315;-1.02333
0.41082;-1.0151
0.40919;-1.01914
0.407;-1.01885
0.40539;-1.01389
0.40315;-1.01695
0.40111;-1.02617
0.39928;-1.01743
0.3971;-1.03473
